backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,population,0,art,80,2,0.6553607662615002,0.6541369554974756,0.3297676116372188,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,80,2,0.7541070286442298,0.7750158735626681,0.7506752058729709,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,80,2,0.7761161458320224,0.7928484155159996,0.7020672876901972,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,80,2,0.8521655061148411,0.8199229421012699,0.7159089410263016,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,80,2,0.8062804269777915,0.8370111662741857,0.7243717709894237,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,80,2,0.694073231315028,0.678263501843433,0.5518589470866989,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,80,2,0.7411373703014236,0.7049148574794102,0.5451313506776129,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,80,2,0.6824791427964588,0.6415371408900656,0.5072295216806975,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,85,2,-0.004827749048636711,0.05629184154912456,0.033299660507282856,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,85,2,0.451674037308243,0.46466576649046076,0.45588392051085336,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,85,2,0.46046562241786565,0.4896306497042765,0.4612064463178737,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,85,2,0.3167003375905682,0.4097590384267092,0.36170817816288636,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,85,2,0.4962926021998538,0.4971615394077125,0.4091597627021798,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,85,2,-0.18543638187868797,-0.048252555579917505,-0.04071384161989737,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,85,2,0.008080127355086704,0.07791411218857722,0.061458822429788944,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,85,2,0.09640252573961935,0.185551265699386,0.1553164726881952,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,86,2,0.5306111019346373,0.5383040775608036,0.365497479836171,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,86,2,0.48540651028916415,0.4473910731575298,0.38741177823115225,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,86,2,0.5382110005300553,0.4809993277011601,0.41321687911941674,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,86,2,0.6113476870132336,0.5779538977258103,0.41658382934184535,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,86,2,0.5546445474928747,0.5221573858066285,0.45803997673812374,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,86,2,0.503073807023967,0.49759828207883916,0.3538301707872717,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,86,2,0.5580003468726696,0.5360819790518006,0.3858785852489228,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,86,2,0.5636262458329142,0.5584105834544435,0.43439246892521044,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,98,2,0.30860488005859993,0.347342777214755,0.21436271418234423,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,98,2,0.18690779510976052,0.23915756331582386,0.2304500363618624,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,98,2,0.373864880249877,0.33668348514033164,0.2943047077814301,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,98,2,0.42660521273074303,0.4359642030892993,0.3968158444131458,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,98,2,0.4557849107014651,0.39775403921409797,0.35805369309643664,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,98,2,0.4883656207667477,0.4962284934992235,0.4615928132050442,,2026-08-22,efficiency
